id,duration,protocol_type,service,flag,src_bytes,classN,classA
138,0,tcp,http,SF,262,1,1
141,0,tcp,http,SF,261,1,1
144,0,tcp,http,SF,294,1,1
145,0,tcp,http,SF,221,1,1
146,0,tcp,http,SF,284,1,1
148,0,tcp,http,SF,309,1,1
152,0,tcp,http,SF,214,1,1
156,0,udp,domain_u,SF,46,1,1
157,0,tcp,ftp_data,SF,748,1,1
161,0,tcp,http,SF,329,1,1
162,0,tcp,ftp_data,SF,9,1,1
163,0,udp,domain_u,SF,46,1,1
164,0,tcp,ftp_data,SF,1766,1,1
167,7,tcp,finger,SF,8,1,1
168,0,tcp,http,SF,266,1,1
169,0,tcp,ftp_data,SF,245,1,1
170,0,tcp,http,SF,295,1,1
172,0,tcp,http,SF,228,1,1
177,0,tcp,http,REJ,0,1,1
181,0,icmp,ecr_i,SF,30,1,1
182,1,tcp,smtp,SF,2078,1,1
183,0,tcp,ftp_data,SF,19,1,1
184,0,tcp,smtp,SF,661,1,1
189,0,tcp,smtp,SF,1075,1,1
190,0,tcp,http,SF,223,1,1
192,0,tcp,http,SF,233,1,1
195,0,tcp,http,SF,201,1,1
196,0,tcp,http,SF,271,1,1
197,0,tcp,ftp_data,SF,14416,1,1
198,0,tcp,http,SF,227,1,1
200,0,tcp,http,SF,225,1,1
201,0,tcp,http,SF,176,1,1
203,0,tcp,http,SF,227,1,1
204,0,tcp,smtp,SF,855,1,1
205,0,tcp,smtp,SF,944,1,1
206,0,tcp,smtp,SF,954,1,1
208,0,tcp,http,SF,166,1,1
209,0,tcp,http,SF,306,1,1
214,0,tcp,http,SF,313,1,1
217,0,tcp,http,SF,285,1,1
218,0,tcp,http,SF,226,1,1
219,0,tcp,http,SF,256,1,1
220,1,tcp,smtp,SF,3740,1,1
221,0,tcp,http,SF,224,1,1
226,0,tcp,http,SF,201,1,1
227,0,tcp,http,SF,285,1,1
229,0,tcp,ftp_data,SF,7422,1,1
230,0,tcp,http,SF,198,1,1
231,20,tcp,smtp,SF,2310,1,1
232,0,tcp,http,SF,331,1,1
233,0,icmp,urp_i,SF,65,1,1
235,0,udp,domain_u,SF,45,1,1
239,0,tcp,finger,SF,9,1,1
240,0,tcp,http,SF,283,1,1
241,0,tcp,http,SF,221,1,1
246,0,tcp,http,SF,302,1,1
250,0,tcp,http,SF,355,1,1
252,18,tcp,telnet,SF,106,1,1
253,0,tcp,http,SF,286,1,1
257,0,tcp,http,SF,168,1,1
258,0,tcp,http,SF,238,1,1
260,0,tcp,http,SF,291,1,1
262,0,tcp,smtp,SF,749,1,1
263,0,tcp,http,SF,198,1,1
265,0,tcp,http,SF,167,1,1
266,0,tcp,http,SF,241,1,1
267,0,tcp,http,SF,337,1,1
268,0,tcp,smtp,SF,729,1,1
271,0,tcp,http,SF,222,1,1
273,0,tcp,http,REJ,0,1,1
274,0,udp,domain_u,SF,46,1,1
275,0,tcp,http,SF,246,1,1
276,0,tcp,http,SF,222,1,1
279,409,tcp,telnet,SF,279,1,1
280,0,tcp,http,SF,226,1,1
281,0,tcp,http,SF,299,1,1
283,0,tcp,ftp_data,SF,12,1,1
284,0,tcp,http,SF,281,1,1
286,0,udp,domain_u,SF,42,1,1
289,0,tcp,http,SF,263,1,1
291,0,tcp,ftp,RSTO,0,1,1
294,0,tcp,http,SF,283,1,1
295,0,tcp,http,SF,161,1,1
296,0,tcp,http,SF,211,1,1
297,0,tcp,http,SF,201,1,1
299,0,udp,other,SF,147,1,1
301,0,tcp,ftp_data,SF,567,1,1
305,0,tcp,http,SF,320,1,1
307,0,tcp,smtp,S0,0,1,1
308,0,tcp,http,SF,204,1,1
310,0,tcp,ftp_data,SF,10389,1,1
312,0,tcp,http,SF,344,1,1
315,0,tcp,http,SF,243,1,1
319,0,udp,private,SF,105,1,1
321,1,tcp,smtp,SF,1080,1,1
325,0,tcp,smtp,SF,657,1,1
327,0,tcp,http,SF,284,1,1
328,0,tcp,http,SF,261,1,1
329,0,tcp,http,SF,317,1,1
330,0,udp,domain_u,SF,33,1,1
333,0,udp,domain_u,SF,44,1,1
334,0,tcp,http,SF,215,1,1
336,0,tcp,http,SF,332,1,1
337,1,tcp,smtp,SF,978,1,1
338,0,tcp,http,SF,296,1,1
341,0,tcp,http,SF,214,1,1
343,0,udp,ntp_u,SF,48,1,1
344,0,tcp,http,SF,226,1,1
346,0,icmp,urp_i,SF,78,1,1
348,0,tcp,http,REJ,0,1,1
352,0,tcp,http,SF,294,1,1
354,0,tcp,http,SF,220,1,1
356,0,tcp,http,SF,196,1,1
358,0,tcp,http,SF,327,1,1
360,0,tcp,ftp_data,SF,319,1,1
361,0,tcp,smtp,SF,1087,1,1
362,0,tcp,http,SF,210,1,1
364,0,tcp,http,REJ,0,1,1
365,0,tcp,http,SF,234,1,1
368,0,tcp,http,SF,237,1,1
371,0,tcp,http,SF,200,1,1
372,0,tcp,http,SF,219,1,1
373,0,tcp,http,SF,284,1,1
375,0,tcp,http,SF,325,1,1
377,0,icmp,eco_i,SF,30,1,1
378,0,tcp,http,SF,335,1,1
379,0,udp,domain_u,SF,36,1,1
381,0,udp,domain_u,SF,43,1,1
383,0,tcp,http,REJ,0,1,1
386,0,tcp,http,SF,216,1,1
388,0,udp,domain_u,SF,44,1,1
389,0,tcp,http,SF,347,1,1
390,1,tcp,smtp,SF,570,1,1
391,0,tcp,http,SF,219,1,1
392,0,udp,other,SF,146,1,1
400,0,tcp,time,SF,0,1,1
401,0,tcp,http,SF,233,1,1
403,0,tcp,ftp_data,SF,276,1,1
404,0,udp,domain_u,SF,44,1,1
406,7805,tcp,telnet,SF,1828,1,1
407,0,tcp,http,SF,200,1,1
408,0,udp,domain_u,SF,46,1,1
411,0,tcp,http,SF,216,1,1
413,0,tcp,http,SF,234,1,1
414,0,tcp,http,SF,220,1,1
416,0,udp,private,SF,105,1,1
417,0,tcp,http,REJ,0,1,1
421,0,tcp,http,SF,288,1,1
426,0,tcp,http,SF,279,1,1
428,0,tcp,ftp_data,SF,192,1,1
429,7,tcp,telnet,SF,105,1,1
431,10,tcp,smtp,SF,1330,1,1
434,0,tcp,http,SF,230,1,1
435,0,udp,domain_u,SF,44,1,1
436,0,tcp,http,SF,271,1,1
437,0,tcp,http,SF,179,1,1
438,0,tcp,ftp_data,SF,852,1,1
439,0,tcp,http,SF,222,1,1
440,0,tcp,http,SF,314,1,1
442,0,tcp,http,SF,230,1,1
445,0,tcp,smtp,SF,857,1,1
446,0,tcp,http,SF,234,1,1
450,0,tcp,http,SF,215,1,1
451,0,udp,domain_u,SF,46,1,1
452,0,udp,private,SF,105,1,1
456,0,tcp,http,SF,305,1,1
458,0,tcp,http,SF,336,1,1
461,5784,udp,other,SF,147,1,1
462,0,tcp,http,SF,335,1,1
464,0,tcp,http,SF,339,1,1
465,0,tcp,http,SF,317,1,1
469,0,udp,domain_u,SF,42,1,1
470,0,tcp,smtp,SF,986,1,1
472,0,icmp,urp_i,SF,183,1,1
474,0,tcp,http,SF,405,1,1
476,0,tcp,smtp,SF,785,1,1
477,0,tcp,http,SF,258,1,1
480,0,tcp,http,SF,318,1,1
484,0,tcp,http,SF,216,1,1
486,0,tcp,http,SF,291,1,1
487,0,tcp,http,SF,224,1,1
490,542,udp,domain_u,SF,17,1,1
492,0,udp,domain_u,SF,29,1,1
493,0,udp,private,SF,105,1,1
494,0,icmp,eco_i,SF,30,1,1
495,0,tcp,http,SF,325,1,1
497,0,tcp,http,REJ,0,1,1
498,0,tcp,ftp_data,SF,12,1,1
499,0,tcp,http,SF,212,1,1
500,0,tcp,http,SF,240,1,1
501,0,tcp,http,SF,292,1,1
502,0,tcp,http,SF,172,1,1
504,0,tcp,http,SF,310,1,1
505,0,udp,domain_u,SF,44,1,1
506,0,udp,other,SF,145,1,1
509,0,udp,domain_u,SF,45,1,1
511,2,tcp,smtp,SF,1551,1,1
512,4,tcp,smtp,SF,1308,1,1
513,0,tcp,http,SF,356,1,1
514,0,tcp,http,SF,364,1,1
515,0,tcp,http,SF,331,1,1
516,0,icmp,eco_i,SF,30,1,1
519,0,tcp,http,SF,247,1,1
520,0,tcp,http,SF,300,1,1
522,0,tcp,http,SF,355,1,1
524,0,tcp,http,SF,316,1,1
525,0,udp,domain_u,SF,44,1,1
526,30,tcp,ftp,SF,1458,1,1
528,10455,udp,other,SF,146,1,1
534,10326,udp,other,SF,146,1,1
536,0,tcp,smtp,RSTO,13794,1,1
538,0,tcp,smtp,SF,911,1,1
540,0,tcp,http,SF,280,1,1
543,0,udp,domain_u,SF,41,1,1
544,0,tcp,finger,SF,10,1,1
545,0,tcp,http,SF,311,1,1
546,0,tcp,http,SF,281,1,1
547,0,tcp,http,SF,297,1,1
549,0,udp,domain_u,SF,43,1,1
553,0,tcp,http,SF,215,1,1
555,0,tcp,http,REJ,0,1,1
556,0,udp,other,SF,516,1,1
561,28,udp,domain_u,SF,44,1,1
563,0,tcp,smtp,SF,676,1,1
564,0,tcp,http,SF,334,1,1
567,0,tcp,http,SF,204,1,1
570,0,tcp,http,SF,192,1,1
575,0,tcp,http,SF,256,1,1
576,0,icmp,eco_i,SF,64,1,1
577,0,udp,domain_u,SF,46,1,1
579,0,tcp,http,SF,220,1,1
580,0,udp,domain_u,SF,41,1,1
581,0,tcp,http,SF,248,1,1
584,0,udp,domain_u,SF,44,1,1
585,202,tcp,telnet,SF,209,1,1
586,0,tcp,other,SF,5891,1,1
588,0,tcp,http,SF,276,1,1
589,0,tcp,http,SF,231,1,1
591,0,tcp,http,SF,312,1,1
594,0,udp,domain_u,SF,29,1,1
595,0,tcp,ftp_data,SF,13239,1,1
597,0,tcp,finger,SF,8,1,1
599,0,udp,domain_u,SF,44,1,1
602,0,tcp,http,SF,324,1,1
605,0,tcp,http,SF,355,1,1
609,0,tcp,http,SF,205,1,1
611,0,tcp,http,SF,325,1,1
613,0,tcp,http,SF,232,1,1
614,4,tcp,smtp,SF,886,1,1
615,0,tcp,http,SF,319,1,1
618,0,tcp,http,SF,147,1,1
619,1,tcp,smtp,SF,1451,1,1
621,0,tcp,http,SF,235,1,1
624,0,tcp,http,SF,299,1,1
629,0,tcp,http,SF,237,1,1
631,3047,udp,other,SF,146,1,1
633,1327,udp,other,SF,146,1,1
634,0,tcp,http,SF,202,1,1
636,0,tcp,ftp_data,SF,383,1,1
637,0,tcp,http,SF,345,1,1
638,0,tcp,http,SF,278,1,1
640,0,tcp,http,SF,196,1,1
642,0,tcp,http,SF,277,1,1
643,0,tcp,http,SF,203,1,1
645,860,udp,other,SF,147,1,1
650,0,tcp,http,SF,367,1,1
652,0,tcp,http,SF,257,1,1
654,0,udp,domain_u,SF,44,1,1
655,0,udp,domain_u,SF,128,1,1
656,0,tcp,http,SF,254,1,1
657,0,tcp,http,SF,225,1,1
658,0,tcp,smtp,SF,775,1,1
659,475,tcp,http,SF,314,1,1
661,8,tcp,smtp,SF,525,1,1
664,0,tcp,http,SF,213,1,1
665,0,tcp,http,SF,190,1,1
669,27,tcp,ftp,SF,1067,1,1
670,0,udp,domain_u,SF,126,1,1
671,0,tcp,http,SF,333,1,1
673,0,tcp,ftp_data,SF,4491,1,1
676,0,tcp,http,SF,239,1,1
677,0,tcp,http,REJ,0,1,1
678,2,tcp,smtp,SF,1258,1,1
681,0,tcp,http,REJ,0,1,1
682,0,udp,domain_u,SF,42,1,1
683,0,tcp,http,SF,224,1,1
684,0,tcp,http,SF,231,1,1
685,5065,udp,other,SF,147,1,1
686,0,udp,domain_u,SF,44,1,1
687,0,icmp,urp_i,SF,183,1,1
691,0,tcp,auth,SF,13,1,1
692,0,tcp,http,SF,233,1,1
693,0,icmp,eco_i,SF,30,1,1
695,0,tcp,http,S1,278,1,1
698,0,tcp,http,SF,237,1,1
699,0,tcp,http,SF,301,1,1
700,0,tcp,http,SF,246,1,1
701,0,tcp,http,SF,230,1,1
702,0,udp,domain_u,SF,46,1,1
703,1985,udp,other,SF,147,1,1
705,0,tcp,ftp_data,SF,641,1,1
708,0,tcp,shell,SF,82,1,1
712,0,udp,domain_u,SF,46,1,1
715,0,tcp,http,SF,376,1,1
717,5,udp,private,SF,105,1,1
720,0,icmp,eco_i,SF,30,1,1
721,0,tcp,smtp,SF,1053,1,1
722,0,udp,domain_u,SF,46,1,1
723,0,udp,domain_u,SF,45,1,1
724,1,tcp,smtp,SF,1539,1,1
727,0,tcp,http,SF,358,1,1
728,0,udp,domain_u,SF,44,1,1
729,0,tcp,http,SF,282,1,1
730,0,tcp,http,SF,323,1,1
731,0,udp,private,SF,105,1,1
732,0,tcp,http,SF,218,1,1
735,0,tcp,http,SF,329,1,1
736,0,tcp,smtp,SF,788,1,1
737,0,tcp,http,SF,311,1,1
740,0,tcp,pop_3,SF,35,1,1
744,0,tcp,ftp_data,SF,59,1,1
746,0,tcp,http,SF,226,1,1
747,0,tcp,http,SF,203,1,1
748,8,tcp,smtp,SF,2544,1,1
750,0,tcp,http,SF,327,1,1
753,0,tcp,http,REJ,0,1,1
763,1,tcp,smtp,SF,763,1,1
765,0,tcp,http,SF,307,1,1
768,0,tcp,http,SF,236,1,1
773,0,tcp,http,SF,300,1,1
774,0,tcp,http,SF,254,1,1
775,5753,udp,other,SF,147,1,1
780,31,tcp,ftp,SF,1221,1,1
783,0,tcp,http,SF,299,1,1
784,0,tcp,ftp_data,SF,1874,1,1
785,0,tcp,smtp,SF,1301,1,1
787,0,udp,domain_u,SF,43,1,1
790,0,tcp,http,SF,330,1,1
792,0,tcp,http,SF,302,1,1
798,0,tcp,http,SF,284,1,1
800,0,tcp,ftp_data,SF,12,1,1
801,0,tcp,http,SF,238,1,1
802,1,tcp,smtp,SF,1194,1,1
803,0,tcp,other,SF,6601,1,1
804,0,tcp,ftp_data,SF,12,1,1
805,2,tcp,smtp,SF,1452,1,1
806,2,tcp,ftp_data,SF,2194619,1,1
810,0,tcp,http,SF,240,1,1
812,0,udp,domain_u,SF,42,1,1
814,0,tcp,http,SF,336,1,1
815,3,tcp,smtp,SF,11436,1,1
817,0,tcp,http,SF,195,1,1
818,0,udp,other,SF,516,1,1
819,0,tcp,http,SF,286,1,1
821,0,tcp,http,SF,215,1,1
822,0,tcp,http,SF,196,1,1
823,5,tcp,smtp,SF,722,1,1
826,0,tcp,http,SF,214,1,1
828,0,tcp,http,SF,232,1,1
829,0,tcp,http,SF,224,1,1
831,0,tcp,ftp_data,SF,192,1,1
832,0,tcp,http,SF,294,1,1
834,0,tcp,http,SF,213,1,1
836,8,udp,private,SF,105,1,1
838,0,tcp,http,SF,303,1,1
840,0,udp,domain_u,SF,44,1,1
841,4931,udp,domain_u,SF,73,1,1
842,0,tcp,IRC,S1,197,1,1
844,0,tcp,http,SF,242,1,1
846,0,tcp,http,SF,308,1,1
849,0,tcp,http,SF,291,1,1
851,0,tcp,smtp,SF,2697,1,1
855,0,tcp,http,SF,200,1,1
858,0,tcp,finger,SF,8,1,1
862,0,tcp,http,SF,341,1,1
863,0,tcp,finger,SF,8,1,1
866,1,tcp,smtp,SF,1483,1,1
867,0,udp,domain_u,SF,46,1,1
868,0,tcp,http,SF,2426,1,1
869,0,udp,domain_u,SF,36,1,1
870,0,tcp,http,SF,210,1,1
873,0,tcp,http,SF,170,1,1
880,0,tcp,http,SF,269,1,1
881,0,tcp,http,SF,315,1,1
886,0,tcp,http,SF,216,1,1
887,0,tcp,http,REJ,0,1,1
889,0,tcp,http,SF,235,1,1
890,0,tcp,smtp,SF,667,1,1
891,2,tcp,smtp,SF,1160,1,1
893,2,tcp,smtp,SF,1299,1,1
896,0,tcp,smtp,SF,711,1,1
902,0,udp,domain_u,SF,42,1,1
904,0,udp,other,SF,147,1,1
905,0,tcp,http,REJ,0,1,1
907,0,tcp,http,SF,222,1,1
909,0,tcp,http,SF,198,1,1
919,0,tcp,http,SF,217,1,1
922,0,tcp,http,SF,252,1,1
923,0,tcp,http,SF,200,1,1
925,0,tcp,http,SF,243,1,1
927,0,tcp,http,REJ,0,1,1
933,0,tcp,http,SF,209,1,1
934,0,tcp,http,S1,215,1,1
936,0,udp,domain_u,SF,31,1,1
937,0,tcp,http,SF,338,1,1
938,0,tcp,http,SF,249,1,1
939,0,tcp,http,SF,232,1,1
940,0,tcp,http,SF,260,1,1
943,0,tcp,smtp,SF,2168,1,1
944,0,tcp,ftp_data,SF,373,1,1
945,0,tcp,http,SF,347,1,1
946,0,tcp,http,SF,354,1,1
951,0,tcp,http,SF,305,1,1
953,0,udp,private,SF,105,1,1
954,0,tcp,http,SF,221,1,1
955,0,tcp,smtp,SF,887,1,1
956,0,tcp,smtp,SF,695,1,1
958,0,tcp,ftp_data,SF,495,1,1
961,0,tcp,smtp,SF,2760,1,1
962,0,udp,domain_u,SF,45,1,1
963,1,tcp,smtp,SF,756,1,1
965,0,tcp,http,SF,218,1,1
969,0,tcp,ftp_data,SF,7196,1,1
970,0,udp,domain_u,SF,46,1,1
971,0,tcp,ftp_data,SF,12,1,1
972,0,udp,domain_u,SF,45,1,1
973,0,udp,domain_u,SF,43,1,1
975,0,tcp,http,SF,206,1,1
977,9908,tcp,IRC,RSTR,2634,1,1
978,357,tcp,telnet,SF,334,1,1
979,0,tcp,ftp_data,SF,4539,1,1
980,0,tcp,http,SF,320,1,1
981,0,icmp,eco_i,SF,30,1,1
982,0,tcp,http,REJ,0,1,1
983,0,tcp,http,SF,281,1,1
984,0,tcp,http,SF,345,1,1
986,0,tcp,http,SF,223,1,1
988,0,tcp,http,REJ,0,1,1
991,0,tcp,http,SF,204,1,1
996,799,tcp,telnet,RSTR,676,1,1
997,0,tcp,http,SF,209,1,1
1000,0,tcp,http,SF,229,1,1
1002,0,udp,other,SF,516,1,1
1003,0,tcp,http,SF,344,1,1
1006,0,tcp,http,SF,277,1,1
1007,0,tcp,http,SF,325,1,1
1009,1,tcp,smtp,SF,1277,1,1
1012,0,tcp,http,SF,219,1,1
1015,0,udp,domain_u,SF,41,1,1
1018,0,tcp,http,SF,326,1,1
1026,0,tcp,http,SF,229,1,1
1027,0,tcp,http,SF,205,1,1
1029,0,tcp,http,SF,319,1,1
1031,0,tcp,http,SF,304,1,1
1032,0,tcp,finger,SF,9,1,1
1034,0,tcp,http,SF,356,1,1
1036,0,udp,domain_u,SF,44,1,1
1038,0,tcp,http,SF,299,1,1
1041,4,tcp,telnet,RSTO,0,1,1
1044,0,tcp,http,SF,366,1,1
1045,0,tcp,http,REJ,0,1,1
1047,3,tcp,ftp_data,SF,2194619,1,1
1048,15435,udp,other,SF,145,1,1
1049,2414,udp,other,SF,146,1,1
1051,0,udp,domain_u,SF,45,1,1
1054,0,tcp,http,SF,236,1,1
1057,0,tcp,http,SF,258,1,1
1059,0,tcp,http,SF,188,1,1
1062,0,tcp,smtp,SF,992,1,1
1064,0,tcp,http,SF,310,1,1
1065,6,tcp,smtp,SF,2597,1,1
1067,0,tcp,http,SF,251,1,1
1069,0,tcp,ftp_data,SF,748,1,1
1070,0,tcp,http,SF,158,1,1
1075,0,tcp,http,SF,229,1,1
1077,0,tcp,ftp_data,SF,10044,1,1
1078,0,tcp,smtp,SF,123,1,1
1080,0,tcp,http,SF,276,1,1
1082,0,tcp,http,SF,319,1,1
1083,0,tcp,http,SF,280,1,1
1085,0,udp,domain_u,SF,42,1,1
1087,0,tcp,smtp,SF,2838,1,1
1088,0,tcp,http,SF,463,1,1
1091,0,udp,domain_u,SF,45,1,1
1093,1,tcp,time,SF,0,1,1
1097,0,tcp,http,SF,294,1,1
1098,8486,udp,other,SF,146,1,1
1099,0,udp,domain_u,SF,31,1,1
1100,0,udp,domain_u,SF,29,1,1
1102,0,tcp,smtp,SF,1131,1,1
1103,0,tcp,http,SF,217,1,1
1104,0,tcp,smtp,SF,1329,1,1
1105,0,udp,domain_u,SF,44,1,1
1108,0,tcp,http,SF,224,1,1
1109,0,tcp,http,SF,290,1,1
1110,0,tcp,http,RSTO,242,1,1
1111,0,tcp,http,SF,197,1,1
1113,0,tcp,http,SF,318,1,1
1115,0,tcp,http,SF,234,1,1
1117,1,tcp,smtp,SF,1492,1,1
1120,0,tcp,smtp,S0,0,1,1
1121,0,tcp,http,SF,303,1,1
1122,0,tcp,http,SF,262,1,1
1125,0,tcp,http,SF,258,1,1
1127,0,tcp,http,SF,246,1,1
1128,0,tcp,http,SF,312,1,1
1129,0,tcp,ftp_data,SF,201,1,1
1130,0,tcp,http,SF,222,1,1
1131,0,tcp,http,SF,290,1,1
1132,0,tcp,ftp_data,SF,11376,1,1
1134,0,tcp,http,SF,306,1,1
1135,0,tcp,http,SF,308,1,1
1139,0,tcp,http,SF,199,1,1
1146,0,tcp,http,SF,280,1,1
1148,0,tcp,http,SF,186,1,1
1153,0,udp,domain_u,SF,44,1,1
1154,0,tcp,http,SF,197,1,1
1162,0,tcp,http,REJ,0,1,1
1168,0,tcp,auth,SF,14,1,1
1173,0,icmp,urp_i,SF,181,1,1
1174,1,udp,private,SF,105,1,1
1176,0,tcp,http,SF,289,1,1
1177,0,udp,domain_u,SF,45,1,1
1179,9114,tcp,IRC,RSTR,1121,1,1
1180,0,tcp,http,SF,235,1,1
1182,0,tcp,http,SF,299,1,1
1187,10,tcp,smtp,SF,664,1,1
1188,3,tcp,smtp,SF,1770,1,1
1189,0,udp,domain_u,SF,42,1,1
1190,0,tcp,http,SF,276,1,1
1193,0,tcp,http,SF,299,1,1
1194,0,tcp,smtp,RSTO,0,1,1
1195,0,tcp,http,SF,296,1,1
1197,0,tcp,http,SF,224,1,1
1198,10,tcp,smtp,SF,2376,1,1
1200,0,tcp,http,SF,210,1,1
1201,0,tcp,http,SF,327,1,1
1205,0,tcp,http,SF,306,1,1
1206,1,tcp,smtp,SF,1211,1,1
1207,0,udp,domain_u,SF,44,1,1
1209,0,udp,domain_u,SF,43,1,1
1211,0,tcp,http,SF,229,1,1
1213,0,tcp,http,SF,307,1,1
1215,0,tcp,http,SF,228,1,1
1218,0,tcp,http,SF,211,1,1
1219,59,tcp,http,SF,259,1,1
1220,0,udp,domain_u,SF,31,1,1
1223,0,tcp,http,SF,538,1,1
1227,0,tcp,ftp_data,SF,748,1,1
1230,0,udp,domain_u,SF,43,1,1
1231,0,tcp,http,SF,283,1,1
1232,0,tcp,http,SF,341,1,1
1234,0,udp,domain_u,SF,42,1,1
1238,0,tcp,ftp_data,SF,10389,1,1
1240,0,udp,domain_u,SF,45,1,1
1241,0,tcp,ftp_data,SF,74,1,1
1242,0,udp,domain_u,SF,43,1,1
1243,2,tcp,smtp,SF,1243,1,1
1244,0,tcp,http,SF,318,1,1
1245,2,tcp,ftp_data,SF,2194619,1,1
1247,0,udp,domain_u,SF,78,1,1
1248,0,udp,domain_u,SF,43,1,1
1249,0,tcp,smtp,SF,1637,1,1
1250,0,tcp,http,SF,213,1,1
1252,1,tcp,smtp,SF,1232,1,1
1253,0,tcp,http,SF,266,1,1
1254,0,tcp,http,SF,285,1,1
1256,0,tcp,http,SF,286,1,1
1257,0,udp,domain_u,SF,30,1,1
1261,0,tcp,http,SF,223,1,1
1262,0,tcp,http,SF,200,1,1
1266,0,udp,domain_u,SF,45,1,1
1269,0,tcp,http,SF,204,1,1
1271,0,tcp,http,SF,297,1,1
1275,0,tcp,http,SF,300,1,1
1277,0,tcp,http,REJ,0,1,1
1283,0,udp,private,SF,105,1,1
1285,0,tcp,http,SF,244,1,1
1288,0,tcp,smtp,SF,771,1,1
1289,0,udp,private,SF,105,1,1
1291,0,tcp,http,SF,254,1,1
1293,0,tcp,http,SF,330,1,1
1295,0,tcp,http,REJ,0,1,1
1297,4468,tcp,telnet,SF,166,1,1
1298,0,tcp,http,SF,322,1,1
1300,0,icmp,ecr_i,SF,30,1,1
1301,0,udp,domain_u,SF,45,1,1
1306,0,tcp,http,SF,298,1,1
1308,0,tcp,http,SF,252,1,1
1311,0,tcp,ftp_data,SF,4539,1,1
1312,0,tcp,http,SF,197,1,1
1315,0,tcp,http,SF,259,1,1
1316,0,tcp,smtp,SF,1193,1,1
1317,0,udp,domain_u,SF,46,1,1
1318,1,tcp,smtp,SF,1016,1,1
1320,0,tcp,http,SF,237,1,1
1324,0,tcp,http,SF,219,1,1
1329,0,udp,domain_u,SF,45,1,1
1332,0,udp,domain_u,SF,43,1,1
1334,0,tcp,http,SF,276,1,1
1335,0,udp,other,SF,147,1,1
1336,0,tcp,http,SF,172,1,1
1337,0,udp,domain_u,SF,42,1,1
1338,0,tcp,http,SF,237,1,1
1339,0,tcp,http,SF,200,1,1
1340,0,tcp,http,SF,360,1,1
1341,0,tcp,http,SF,347,1,1
1342,0,tcp,http,SF,231,1,1
1343,0,tcp,http,SF,224,1,1
1346,0,tcp,http,SF,201,1,1
1347,0,udp,domain_u,SF,43,1,1
1350,0,tcp,http,SF,226,1,1
1351,27,tcp,ftp,SF,704,1,1
1352,0,tcp,http,SF,186,1,1
